"","x"
"surface_covered",0.672001860972102
"bathrooms",0.470186888189055
"distancia_bicycle_rental",0.237982699363277
"distancia_events_venue",0.23555626584316
"distancia_funeral_hall",0.23273818801628
"distancia_library",0.231032832332561
"distancia_toilets",0.229614134549133
"bedrooms",0.225821453002933
"distancia_track",0.220257911269087
"distancia_love_hotel",0.214695547226928
"distancia_college",0.209377711134021
"surface_imputado",0.208205485245102
"distancia_community_centre",0.2030730035598
"distancia_vehicle_inspection",0.196098305958179
"distancia_casino",0.193836110761875
"distancia_stadium",0.19131582349688
"distancia_social_facility",0.190655530721757
"distancia_post_office",0.186838453137504
"surface_total",0.181215664138579
"distancia_bicycle_parking",0.175100041509737
"distancia_water_park",0.172011767767407
"distancia_nature_reserve",0.171351806701256
"estudio",0.171262639466782
"distancia_public_building",0.169727828024563
"distancia_monastery",0.168525552419186
"rooms",0.168209954145841
"distancia_prison",0.163089747999311
"distancia_townhall",0.159194832845859
"valor_catastral",0.159005365526568
"distancia_clinic",0.153863838343051
"distancia_studio",0.150598669369379
"distancia_animal_breeding",0.144314529124277
"distancia_bandstand",0.143653601399643
"distancia_horse_riding",0.14285372468765
"num_parques",0.14184213268993
"distancia_ice_cream",0.139583366516203
"distancia_miniature_golf",0.137355753966995
"distancia_swimming_pool",0.136814069467591
"distancia_fitness_station",0.133378614828474
"distancia_common",0.132199075691348
"distancia_conference_centre",0.131225646723606
"distancia_parking_space",0.124518408042882
"distancia_bicycle_repair_station",0.123692416750569
"distancia_adult_gaming_centre",0.123235791493927
"distancia_dog_park",0.12126420986705
"distancia_shelter",0.117280498145192
"distancia_atm",0.116555650652314
"distancia_police",0.1132916168241
"distancia_dance",0.111416796598763
"distancia_recycling",0.111018169884689
"distancia_amusement_arcade",0.110902893369013
"distancia_payment_centre",0.10705315860251
"distancia_pub",0.103079932990371
"distancia_fire_station",0.099280391043971
"terraza",0.0992757523449079
"distancia_nightclub",0.0926193408049039
"distancia_park",0.0921840208949894
"distancia_animal_shelter",0.0909796752591056
"distancia_cycleway",0.0904358434130759
"distancia_bar",0.0897634848329226
"MANZANA_ID",0.0894973006714448
"distancia_research_institute",0.0891625845358555
"distancia_planetarium",0.0870778868494819
"distancia_car_rental",0.0860671440182659
"distancia_university",0.0844364712103781
"distancia_grave_yard",0.0815022581489435
"piso",0.0795510395125535
"distancia_min_parque",0.0771913605774187
"distancia_fountain",0.076853185231836
"distancia_hospital",0.0759579796194163
"distancia_social_centre",0.0758795142940983
"distancia_commercial",0.0746441231359852
"distancia_bank",0.0744006596499291
"distancia_arts_centre",0.0704777321775858
"distancia_bbq",0.070162682382883
"codigo_localidad",0.0698678967912193
"AVALUO_CAT",0.0675576285985924
"distancia_pitch",0.0645683522721977
"distancia_bus_station",0.0632376134533586
"cocina_estandar",0.0621672836381813
"distancia_doctors",0.0612119084918826
"codigo_upz",0.0606776862070867
"distancia_public_bookcase",0.0605393187906254
"walkin_closet",0.0588437578634336
"distancia_exhibition_centre",0.0584198006088261
"surface",0.0581102740767583
"distancia_sanitary_dump_station",0.0580218990042097
"distancia_money_transfer",0.0574236351238494
"distancia_nursing_home",0.0570413720029016
"seguridad",0.0544206873291019
"dist_tm_metros",0.0544044251196313
"distancia_bird_hide",0.0534092196989526
"distancia_cafe",0.0511810984933847
"distancia_parking_entrance",0.0499956264540532
"remodelado",0.049898960994563
"valor_comercial",0.0469418574564874
"parqueadero",0.0465999094979519
"distancia_place_of_worship",0.0451712469802543
"distancia_garden",0.044938761977164
"distancia_water_point",0.0432039391960232
"distancia_mortuary",0.0427894441728226
"distancia_veterinary",0.0422291933644193
"codigo_barrio",0.0409625388287614
"distancia_music_school",0.0388020238490331
"distancia_school",0.0387837144718084
"closet",0.0364864755581966
"distancia_ice_rink",0.0321788970437594
"distancia_parking",0.031510146544045
"distancia_post_box",0.0309152851748476
"distancia_pharmacy",0.0306872448156071
"distancia_motorcycle_parking",0.0297971933739085
"distancia_waste_transfer_station",0.0297944949271913
"saloncomunal_recepcion",0.0296689804211323
"distancia_playground",0.0292042131899391
"distancia_fast_food",0.0290191949893896
"distancia_fuel",0.0286257226259486
"distancia_theatre",0.0280583369852329
"distancia_language_school",0.0262074768399538
"sala_comedor",0.0253078352330704
"lujos",0.0246843917983879
"distancia_crematorium",0.0241553808481119
"distancia_post_depot",0.0219889087174131
"distancia_food_court",0.0212958852322028
"distancia_car_wash",0.0189062194187679
"OBJECTID",0.0151432379282871
"distancia_driving_school",0.0150373581480115
"distancia_kindergarten",0.0148093648502485
"patio_lavanderia",0.0146413993865075
"distancia_dentist",0.0126713623106257
"distancia_courthouse",0.0125673785127319
"month",0.0122782359122346
"GRUPOP_TER",0.00976642521467638
"distancia_sports_centre",0.00918212616531394
"codigo_criterio",0.008415267094963
"distancia_internet_cafe",0.00769774586977912
"distancia_tm",0.0071705377232782
"distancia_fitness_centre",0.00704865214969146
"distancia_restaurant",0.00681426759306537
"distancia_cinema",0.00536195369050526
"year",0.00533938321196842
"distancia_waste_disposal",0.00395646247291017
"cocina_lujo",0.00333733699312982
"distancia_taxi",0.00303371539686573
"distancia_marketplace",0.00154722132259971
"service_density",0.000592647702391928
